season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Pilot,Drew Goddard,Michael Schur,2016-09-19,8039999.999999999
1,2,2,Flying,Michael McDonald,Alan Yang,2016-09-19,8039999.999999999
1,3,3,Tahani Al-Jamil,Beth McCarthy-Miller,Aisha Muharrar,2016-09-22,5250000.0
1,4,4,Jason Mendoza,Payman Benz,Joe Mande,2016-09-29,4450000.0
1,5,5,Category 55 Emergency Doomsday Crisis,Morgan Sackett,Matt Murray,2016-10-06,4970000.0
1,6,6,What We Owe to Each Other,Tucker Gates,Dylan Morgan & Josh Siegal,2016-10-13,4230000.0
1,7,7,The Eternal Shriek,Trent O'Donnell,Megan Amram,2016-10-20,3790000.0
1,8,8,Most Improved Player,Tristram Shapeero,Dan Schofield,2016-10-27,3890000.0
1,9,9,...Someone Like Me as a Member,Dean Holland,Jen Statsky,2016-11-03,3680000.0
1,10,10,Chidi's Choice,Linda Mendoza,Demi Adejuyigbe,2017-01-05,3530000.0
1,11,11,What's My Motivation,Lynn Shelton,Andrew Law,2017-01-12,3640000.0
1,12,12,Mindy St. Claire,Dean Holland,Megan Amram & Jen Statsky,2017-01-19,3930000.0
1,13,13,Michael's Gambit,Michael Schur,Michael Schur,2017-01-19,3930000.0
2,1,14,Everything Is Great!,Trent O'Donnell,Jen Statsky,2017-09-20,5280000.0
2,2,15,Everything Is Great! Part 2,Trent O'Donnell,Joe Mande,2017-09-20,5280000.0
2,3,16,Dance Dance Resolution,Drew Goddard,Megan Amram,2017-09-20,4670000.0
2,4,17,Team Cockroach,Morgan Sackett,Dan Schofield,2017-10-05,4170000.0
2,5,18,Existential Crisis,Beth McCarthy-Miller,Andrew Law,2017-10-12,4050000.0
2,6,19,The Trolley Problem,Dean Holland,Josh Siegal & Dylan Morgan,2017-10-19,3920000.0
2,7,20,Janet and Michael,Dean Holland,Kate Gersten,2017-10-26,3970000.0
2,8,21,Derek,Jude Weng,Cord Jefferson,2017-11-02,3060000.0
2,9,22,Leap to Faith,Linda Mendoza,Christopher Encell,2018-01-04,3080000.0
2,10,23,Best Self,Julie Anne Robinson,Tyler Straessle,2018-01-11,3110000.0
2,11,24,"Rhonda, Diana, Jake, and Trent",Alan Yang,Jen Statsky & Dan Schofield,2018-01-18,3000000.0
2,12,25,The Burrito,Dean Holland,Megan Amram & Joe Mande,2018-01-25,3650000.0
2,13,26,Somewhere Else,Michael Schur,Michael Schur,2018-02-01,3190000.0
3,1,27,Everything Is Bonzer!,Dean Holland,Jen Statsky & Michael Schur,2018-09-27,3130000.0
3,2,28,Everything Is Bonzer! Part 2,Dean Holland,Jen Statsky,2018-09-27,3130000.0
3,3,29,The Brainy Bunch,Jude Weng,Dan Schofield,2018-10-04,2960000.0
3,4,30,The Snowplow,Beth McCarthy-Miller,Joe Mande,2018-10-11,2710000.0
3,5,31,Jeremy Bearimy,Trent O'Donnell,Megan Amram,2018-10-18,2700000.0
3,6,32,The Ballad of Donkey Doug,Rebecca Asher,Matt Murray,2018-10-25,2670000.0
3,7,33,A Fractured Inheritance,Beth McCarthy-Miller,Kassia Miller,2018-11-01,2720000.0
3,8,34,The Worst Possible Use of Free Will,Claire Scanlon,Cord Jefferson,2018-11-08,2770000.0
3,9,35,Don't Let the Good Life Pass You By,Dean Holland,Andrew Law,2018-11-15,2690000.0
3,10,36,Janet(s),Morgan Sackett,Josh Siegal & Dylan Morgan,2018-12-06,2580000.0
3,11,37,The Book of Dougs,Ken Whittingham,Kate Gersten,2019-01-10,2720000.0
3,12,38,Chidi Sees the Time-Knife,Jude Weng,Christopher Encell & Joe Mande,2019-01-17,2520000.0
3,13,39,Pandemonium,Michael Schur,Megan Amram & Jen Statsky,2019-01-24,2390000.0
4,1,40,A Girl from Arizona,Drew Goddard,Andrew Law & Kassia Miller,2019-09-26,2420000.0
4,2,41,A Girl from Arizona Part 2,Drew Goddard,Andrew Law & Kassia Miller,2019-10-03,2110000.0
4,3,42,Chillaxing,Anya Adams,Aisha Muharrar,2019-10-10,1920000.0
4,4,43,"Tinker, Tailor, Demon, Spy",Morgan Sackett,Cord Jefferson,2019-10-17,2020000.0
4,5,44,Employee of the Bearimy,Beth McCarthy-Miller,Joe Mande,2019-10-24,1910000.0
4,6,45,A Chip Driver Mystery,Steve Day,Lizzy Pace,2019-10-31,2210000.0
4,7,46,Help Is Other People,Beth McCarthy-Miller,Dave King,2019-11-07,1980000.0
4,8,47,The Funeral to End All Funerals,Kristen Bell,Josh Siegal & Dylan Morgan,2019-11-14,2060000.0
4,9,48,The Answer,Valeria Migliassi Collins,Dan Schofield,2019-11-21,2049999.9999999998
4,10,49,"You've Changed, Man",Rebecca Asher,Matt Murray,2020-01-09,2080000.0
4,11,50,"Mondays, Am I Right?",Rebecca Asher,Jen Statsky,2020-01-16,1930000.0
4,12,51,Patty,Morgan Sackett,Megan Amram,2020-01-23,2120000.0
4,13,52,Whenever You're Ready,Michael Schur,Michael Schur,2020-01-30,2320000.0
